date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean,total_cases,total_deaths
2020-06-18,ME,1344212,107.9893409367381,0.000985291578765336,0.010414065247826955,2878,102
2020-06-19,ME,1344212,105.1092569545909,0.000999739060293463,0.010492259206037857,2913,102
2020-06-20,ME,1344212,100.37465553251539,0.0010142167264441241,0.010566930950920744,2938,102
2020-06-21,ME,1344212,93.0706166436064,0.0010254286089045254,0.010636169000159708,2957,102
2020-06-22,ME,1344212,86.48488949450562,0.0010328288058225148,0.010700507727603375,2971,102
2020-06-23,ME,1344212,75.73043979510977,0.0010334872462216796,0.010756845894347245,2994,102
2020-06-24,ME,1344212,66.8516655514596,0.001027987844042722,0.010806578872144987,3017,103
2020-06-25,ME,1344212,59.3355284635014,0.0010154992819647395,0.010850720368027707,3070,103
2020-06-26,ME,1344212,53.82961439276193,0.0009957412410100837,0.010890765847753198,3102,103
2020-06-27,ME,1344212,49.08522609032979,0.0009683873607220825,0.0109272818333941,3154,104
2020-06-28,ME,1344212,45.36646185078598,0.0009344593658744462,0.010961031317739418,3191,104
2020-06-29,ME,1344212,41.982637607881784,0.0008936146295883058,0.010992263472792254,3219,105
2020-06-30,ME,1344212,43.120794814086445,0.0008506497795353112,0.011024342337446107,3253,105
2020-07-01,ME,1344212,43.7541604189067,0.0008039178677455577,0.011056892381947203,3294,105
2020-07-02,ME,1344212,45.64552574716846,0.0007571207624198775,0.011090849470373112,3328,105
2020-07-03,ME,1344212,47.17277293849957,0.0007118774763919008,0.01112594272421886,3373,105
2020-07-04,ME,1344212,49.2763593059708,0.0006703416936071762,0.011162600899645036,3397,107
2020-07-05,ME,1344212,51.045308294446706,0.0006336440988542142,0.011200575049774961,3415,109
2020-07-06,ME,1344212,52.73103176611045,0.0006036342604674895,0.0112398032606272,3423,109
2020-07-07,ME,1344212,51.666275740842806,0.0005777316396356097,0.011278239367238986,3440,110
2020-07-08,ME,1344212,52.48293816801667,0.0005604371194058446,0.011317283013753092,3460,110
2020-07-09,ME,1344212,51.082887013004935,0.0005487062476843789,0.011355285119829368,3486,111
2020-07-10,ME,1344212,49.05569379386694,0.0005410587674731962,0.011391779135500905,3499,111
2020-07-11,ME,1344212,46.59955314384087,0.0005356801060351782,0.011426445953788377,3520,112
2020-07-12,ME,1344212,46.422458726054934,0.0005336991927831949,0.011460981026177297,3539,114
2020-07-13,ME,1344212,47.04602509309354,0.0005349486707244033,0.011495979988463821,3558,114
2020-07-14,ME,1344212,48.94495895803628,0.0005401281523464648,0.011532391625138718,3566,114
2020-07-15,ME,1344212,49.149469419785,0.0005446130658911277,0.011568955403337234,3578,114
2020-07-16,ME,1344212,50.09898822608452,0.0005493331753732466,0.011606225557320448,3598,114
2020-07-17,ME,1344212,51.054695071307854,0.0005533572201847341,0.011644206690557846,3636,115
2020-07-18,ME,1344212,52.24173079973212,0.0005571281713897767,0.011683070895608636,3646,117
2020-07-19,ME,1344212,51.27042435942102,0.000558611616749177,0.011721212516394214,3687,117
2020-07-20,ME,1344212,48.917667576308475,0.0005570288004090921,0.011757603850184054,3711,117
2020-07-21,ME,1344212,45.91824656827411,0.0005519605632576336,0.011791763823884834,3723,118
2020-07-22,ME,1344212,42.67528296681265,0.000545271891549577,0.011823511258788564,3723,118
2020-07-23,ME,1344212,39.35798863360628,0.0005355078442605999,0.01185279085801369,3737,118
2020-07-24,ME,1344212,36.12362315608525,0.0005243791950170879,0.011879664314846456,3757,118
2020-07-25,ME,1344212,32.74154342404633,0.0005122426046802804,0.011904021740181184,3790,119
